Region,Model,Price,Range,Charging,Maint. Cost,Space,Acceleration,Env. Impact,Safety,Price_norm,Range_norm,Charging_norm,Maint_norm,Space_norm,Accel_norm,Env_norm,Safety_norm
US,Tesla Model 3,"$36,990.00 ",321,117,"$2,500.00 ",24,5.8,55,5,0.926923906,0.941860465,1,1,0,0.37254902,0.65,1
US,Tesla Model Y,"$39,990.00 ",321,108,"$3,065.00 ",30.2,6.8,57,5,0.862254796,0.941860465,0.839285714,0.798214286,0.193146417,0.176470588,0.75,1
US,Hyundai Ioniq 5,"$35,000.00 ",245,100,"$4,096.00 ",26.3,5.3,62,5,0.969821082,0.058139535,0.696428571,0.43,0.07165109,0.470588235,1,1
US,Ford Mustang Mach-E,"$41,990.00 ",300,61,"$2,553.00 ",29.7,4.1,61,5,0.819142056,0.697674419,0,0.981071429,0.177570093,0.705882353,0.95,1
US,Tesla Cybertruck,"$79,990.00 ",325,110,"$3,065.00 ",56.1,2.6,42,5,0,0.988372093,0.875,0.798214286,1,1,0,1
US,Ford F-150 Lightning,"$54,780.00 ",240,62,"$4,730.00 ",52.8,4,45,5,0.543436085,0,0.017857143,0.203571429,0.897196262,0.725490196,0.15,1
US,Honda Prologue,"$47,400.00 ",294,65,"$3,484.00 ",25.2,5.9,46,5,0.702522095,0.627906977,0.071428571,0.648571429,0.037383178,0.352941176,0.2,1
US,Chevy Equinox EV,"$33,600.00 ",319,77,"$5,300.00 ",26.4,7.7,52,5,1,0.918604651,0.285714286,0,0.074766355,0,0.5,1
US,Cadillac Lyriq,"$59,200.00 ",326,86,"$5,233.00 ",28,5.7,46,5,0.44815693,1,0.446428571,0.023928571,0.124610592,0.392156863,0.2,1
US,Rivian R1S,"$76,990.00 ",270,80,"$3,115.00 ",49,4.5,42,5,0.06466911,0.348837209,0.339285714,0.780357143,0.778816199,0.62745098,0,1
